Marker_name	chr	Position_bp
CH03g12z	chr1	1789509
Hi02c07	chr1	9928622
NZSNP187650	chr1	13315520
GDSNP01321	chr1	14029500
MdGA20ox1a	chr1	24897671
MdSOC1_like	chr1	25034617
MdBFTa	chr1	25417018
MdGA3ox_like_b	chr1	28963756
CH05g08	chr1	29188943
CH02f06	chr2	2753851
NH033b	chr2	15628728
MdGA20ox1b	chr2	21725795
MdLHP1a	chr2	27276798
CH03d01	chr2	32975710
CH03e03	chr3	1128886
CH03g07	chr3	6369947
Hi03d06	chr3	9066890
MdVRN1a	chr3	18460713
CH05a12	chr3	27207828
Hi07e08y	chr3	31060412
CH03g12y	chr3	33147808
MdSVPa	chr4	414903
CH01d03y	chr4	5285641
CH02h11a	chr4	8244360
MdPHYAa	chr4	18271952
MdIAA103	chr4	21376016
MdIAA4	chr4	21381621
Hi23d11y	chr4	21764464
CH02c02b	chr4	21891740
Hi09b04	chr5	4599604
CH03a09	chr5	7626506
CH05e06	chr5	9082446
CH05f06	chr5	23687905
CH03a04	chr5	30263615
CH04e03	chr5	30532742
HB09TCHB09-SSR	chr6	3170977
MdVRN2_1	chr6	6504528
NZ23g04	chr6	14889336
CH03d12	chr6	17501482
MdMFTa	chr6	23696674
CH03c01	chr6	25260640
Hi07b06	chr6	25449128
CN444794-SSR	chr7	1392584
MdSPL8	chr7	9568725
CH04e05	chr7	11116364
MdGA20ox1c	chr7	23081984
MdSOC1b	chr7	23211157
Hi05b09	chr7	25080477
MdCLV1b	chr8	794247
Hi04b12	chr8	4614432
MS06c09	chr8	6481886
MdCKX7b	chr8	9500230
CH01c06	chr8	10738830
CH01e12	chr8	10738830
MdEFL3a	chr8	10751394
CH02g09	chr8	14309668
CH05a02y	chr8	16405771
MdPI	chr8	20663593
MdIAA127A	chr8	25116270
CH01h10	chr8	26088337
CH01f03b	chr9	9202650
CH04e02	chr9	15704432
Hi05e07	chr9	16855086
MdGA3ox1b	chr9	21448680
NZ04h11y	chr9	29728885
NZ04h11x	chr9	29728885
CH01h02	chr9	32401430
Hi02d04	chr10	2711331
MdMADS4a	chr10	10038186
CH02a08y	chr10	10540467
CH02c11	chr10	15228265
CH03d11	chr10	18214366
MdIAA106	chr10	19773424
MdGA2ox3a	chr10	19867370
MdGA2ox2b	chr10	25855432
MdPHYEb	chr10	26272589
MdAGL12	chr10	26792293
COL	chr10	27072859
MdARF3	chr10	27962459
MdAFB6	chr10	29215049
MdCENa	chr10	29915352
MdGA2ox8a	chr10	31390124
MS06g03	chr10	32071110
CH04h02	chr11	237131
GDSNP01140	chr11	3624217
GDSNP01912	chr11	4719112
CH02d12	chr11	10401263
MdAFL1	chr11	20414869
CH04g07	chr11	30383283
CH05d04	chr12	1605394
CH05d11	chr12	6871483
CH01f02	chr12	22506764
Hi23d11x	chr12	30496223
MdFT1	chr12	31575547
MdAP1b	chr13	3705161
CH02g01	chr13	5032759
Hi04f09	chr13	7046947
NH009b	chr13	12114574
MdGA2ox4b	chr13	12250450
NZSNPQ06942	chr13	25537167
MdARF104	chr13	31009456
MdCKX1a	chr13	32756755
MdIAA33	chr13	33903039
GDSNP01401	chr14	5232968
CH05g07z	chr14	8681610
CH01g05	chr14	16269065
CH05g11	chr14	19977314
MdAFL2	chr14	20091479
CH03a03	chr14	26521102
U78948-SSR	chr14	26856556
MdEFL3b	chr15	999781
MdCLV1c	chr15	2607800
CH03b06	chr15	3184027
MdCCD8b	chr15	3345647
NZ02b01	chr15	4327316
MdVRN2_2	chr15	9984059
MdRGL3a	chr15	11412854
CH01d08	chr15	13690954
CH02d11	chr15	28159646
CH03b10	chr15	35392941
CH02c09	chr15	40401916
MdVRN1b	chr15	43121527
CH02a03	chr16	597217
CH05e04z	chr16	2500838
CH05b06y	chr16	2953656
CH02d10a	chr16	7373904
CH05a04	chr16	8943557
CH04f10	chr16	20708419
CH04c06y	chr17	637976
AT000174-SSR	chr17	3303774
CH01h01	chr17	6149556
Hi03c05	chr17	10976774
MdLDc	chr17	17434330
MdLHP1b	chr17	23582634
CH05d08y	chr17	23836378
